sort,segment,position,field,datatype,HL7 table,table identifier,version,source,count,2611,,
ABS-14-2.7-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.7,IGAMT,2,,,
ABS-14-2.7.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.7.1,Frank,2,,,
ABS-14-2.7.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.7.1,IGAMT,2,,,
ABS-14-2.8-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8,Frank,2,,,
ABS-14-2.8-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8,IGAMT,2,,,
ABS-14-2.8.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8.1,Frank,2,,,
ABS-14-2.8.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8.1,IGAMT,2,,,
ABS-14-2.8.2-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8.2,Frank,2,,,
ABS-14-2.8.2-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.8.2,IGAMT,2,,,
ABS-2-2.4-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.4,Frank,2,,,
ABS-2-2.4-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.4,IGAMT,2,,,
ABS-2-2.5-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.5,Frank,2,,,
ABS-2-2.5-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.5,IGAMT,2,,,
ABS-2-2.5.1-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.5.1,Frank,2,,,
ABS-2-2.5.1-HL70069,ABS,2,ABS-2,CE,HL70069,0069,2.5.1,IGAMT,2,,,
ABS-2-2.6-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.6,Frank,2,,,
ABS-2-2.6-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.6,IGAMT,2,,,
ABS-2-2.7-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.7,Frank,2,,,
ABS-2-2.7-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.7,IGAMT,2,,,
ABS-2-2.7.1-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.7.1,Frank,2,,,
ABS-2-2.7.1-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.7.1,IGAMT,2,,,
ABS-2-2.8-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8,Frank,2,,,
ABS-2-2.8-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8,IGAMT,2,,,
ABS-2-2.8.1-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8.1,Frank,2,,,
ABS-2-2.8.1-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8.1,IGAMT,2,,,
ABS-2-2.8.2-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8.2,Frank,2,,,
ABS-2-2.8.2-HL70069,ABS,2,ABS-2,CWE,HL70069,0069,2.8.2,IGAMT,2,,,
ABS-3-2.4-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.4,Frank,2,,,
ABS-3-2.4-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.4,IGAMT,2,,,
ABS-3-2.5-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.5,Frank,2,,,
ABS-3-2.5-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.5,IGAMT,2,,,
ABS-3-2.5.1-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.5.1,Frank,2,,,
ABS-3-2.5.1-HL70421,ABS,3,ABS-3,CE,HL70421,0421,2.5.1,IGAMT,2,,,
ABS-3-2.6-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.6,Frank,2,,,
ABS-3-2.6-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.6,IGAMT,2,,,
ABS-3-2.7-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.7,Frank,2,,,
ABS-3-2.7-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.7,IGAMT,2,,,
ABS-3-2.7.1-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.7.1,Frank,2,,,
ABS-3-2.7.1-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.7.1,IGAMT,2,,,
ABS-3-2.8-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8,Frank,2,,,
ABS-3-2.8-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8,IGAMT,2,,,
ABS-3-2.8.1-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8.1,Frank,2,,,
ABS-3-2.8.1-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8.1,IGAMT,2,,,
ABS-3-2.8.2-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8.2,Frank,2,,,
ABS-3-2.8.2-HL70421,ABS,3,ABS-3,CWE,HL70421,0421,2.8.2,IGAMT,2,,,
ABS-6-2.4-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.4,Frank,2,,,
ABS-6-2.4-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.4,IGAMT,2,,,
ABS-6-2.5-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.5,Frank,2,,,
ABS-6-2.5-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.5,IGAMT,2,,,
ABS-6-2.5.1-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.5.1,Frank,2,,,
ABS-6-2.5.1-HL70422,ABS,6,ABS-6,CE,HL70422,0422,2.5.1,IGAMT,2,,,
ABS-6-2.6-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.6,Frank,2,,,
ABS-6-2.6-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.6,IGAMT,2,,,
ABS-6-2.7-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.7,Frank,2,,,
ABS-6-2.7-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.7,IGAMT,2,,,
ABS-6-2.7.1-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.7.1,Frank,2,,,
ABS-6-2.7.1-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.7.1,IGAMT,2,,,
ABS-6-2.8-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8,Frank,2,,,
ABS-6-2.8-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8,IGAMT,2,,,
ABS-6-2.8.1-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8.1,Frank,2,,,
ABS-6-2.8.1-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8.1,IGAMT,2,,,
ABS-6-2.8.2-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8.2,Frank,2,,,
ABS-6-2.8.2-HL70422,ABS,6,ABS-6,CWE,HL70422,0422,2.8.2,IGAMT,2,,,
ABS-9-2.4-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.4,Frank,2,,,
ABS-9-2.4-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.4,IGAMT,2,,,
ABS-9-2.5-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.5,Frank,2,,,
ABS-9-2.5-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.5,IGAMT,2,,,
ABS-9-2.5.1-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.5.1,Frank,2,,,
ABS-9-2.5.1-HL70423,ABS,9,ABS-9,CE,HL70423,0423,2.5.1,IGAMT,2,,,
ABS-9-2.6-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.6,Frank,2,,,
ABS-9-2.6-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.6,IGAMT,2,,,
ABS-9-2.7-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.7,Frank,2,,,
ABS-9-2.7-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.7,IGAMT,2,,,
ABS-9-2.7.1-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.7.1,Frank,2,,,
ABS-9-2.7.1-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.7.1,IGAMT,2,,,
ABS-9-2.8-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8,Frank,2,,,
ABS-9-2.8-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8,IGAMT,2,,,
ABS-9-2.8.1-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8.1,Frank,2,,,
ABS-9-2.8.1-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8.1,IGAMT,2,,,
ABS-9-2.8.2-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8.2,Frank,2,,,
ABS-9-2.8.2-HL70423,ABS,9,ABS-9,CWE,HL70423,0423,2.8.2,IGAMT,2,,,
ACC-10-2.4-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.4,Frank,2,,,
ACC-10-2.4-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.4,IGAMT,2,,,
ACC-10-2.5-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.5,Frank,2,,,
ACC-10-2.5-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.5,IGAMT,2,,,
ACC-10-2.5.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.5.1,Frank,2,,,
ACC-10-2.5.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.5.1,IGAMT,2,,,
ACC-10-2.6-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.6,Frank,2,,,
ACC-10-2.6-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.6,IGAMT,2,,,
ACC-10-2.7-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.7,Frank,2,,,
ACC-10-2.7-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.7,IGAMT,2,,,
ACC-10-2.7.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.7.1,Frank,2,,,
ACC-10-2.7.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.7.1,IGAMT,2,,,
ACC-10-2.8-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.8,Frank,2,,,
ACC-10-2.8-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.8,IGAMT,2,,,
ACC-10-2.8.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.8.1,Frank,2,,,
ACC-10-2.8.1-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.8.1,IGAMT,2,,,
ACC-10-2.8.2-HL70136,ACC,10,ACC-10,ID,HL70136,0136,2.8.2,Frank,1,,,
ACC-2-2.1-HL70050,ACC,2,ACC-2,ID,HL70050,0050,2.1,Frank,1,,,
ACC-2-2.2-HL70050,ACC,2,ACC-2,ID,HL70050,0050,2.2,Frank,1,,,
ACC-2-2.3-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.3,Frank,1,,,
ACC-2-2.3.1-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.3.1,Frank,2,,,
ACC-2-2.3.1-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.3.1,IGAMT,2,,,
ACC-2-2.4-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.4,Frank,2,,,
ACC-2-2.4-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.4,IGAMT,2,,,
ACC-2-2.5-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.5,Frank,2,,,
ACC-2-2.5-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.5,IGAMT,2,,,
ACC-2-2.5.1-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.5.1,Frank,2,,,
ACC-2-2.5.1-HL70050,ACC,2,ACC-2,CE,HL70050,0050,2.5.1,IGAMT,2,,,
ACC-2-2.6-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.6,Frank,2,,,
ACC-2-2.6-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.6,IGAMT,2,,,
ACC-2-2.7-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.7,Frank,2,,,
ACC-2-2.7-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.7,IGAMT,2,,,
ACC-2-2.7.1-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.7.1,Frank,2,,,
ACC-2-2.7.1-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.7.1,IGAMT,2,,,
ACC-2-2.8-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8,Frank,2,,,
ACC-2-2.8-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8,IGAMT,2,,,
ACC-2-2.8.1-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8.1,Frank,2,,,
ACC-2-2.8.1-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8.1,IGAMT,2,,,
ACC-2-2.8.2-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8.2,Frank,2,,,
ACC-2-2.8.2-HL70050,ACC,2,ACC-2,CWE,HL70050,0050,2.8.2,IGAMT,2,,,
ACC-4-2.3.1-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.3.1,Frank,2,,,
ACC-4-2.3.1-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.3.1,IGAMT,2,,,
ACC-4-2.4-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.4,Frank,2,,,
ACC-4-2.4-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.4,IGAMT,2,,,
ACC-4-2.5-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.5,Frank,2,,,
ACC-4-2.5-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.5,IGAMT,2,,,
ACC-4-2.5.1-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.5.1,Frank,2,,,
ACC-4-2.5.1-HL70347,ACC,4,ACC-4,CE,HL70347,0347,2.5.1,IGAMT,2,,,
ACC-4-2.6-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.6,Frank,2,,,
ACC-4-2.6-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.6,IGAMT,2,,,
ACC-4-2.7-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.7,Frank,2,,,
ACC-4-2.7-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.7,IGAMT,2,,,
ACC-4-2.7.1-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.7.1,Frank,2,,,
ACC-4-2.7.1-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.7.1,IGAMT,2,,,
ACC-4-2.8-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8,Frank,2,,,
ACC-4-2.8-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8,IGAMT,2,,,
ACC-4-2.8.1-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8.1,Frank,2,,,
ACC-4-2.8.1-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8.1,IGAMT,2,,,
ACC-4-2.8.2-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8.2,Frank,2,,,
ACC-4-2.8.2-HL70347,ACC,4,ACC-4,CWE,HL70347,0347,2.8.2,IGAMT,2,,,
ACC-5-2.3-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.3,Frank,1,,,
ACC-5-2.3.1-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.3.1,Frank,2,,,
ACC-5-2.3.1-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.3.1,IGAMT,2,,,
ACC-5-2.4-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.4,Frank,1,,,
ACC-5-2.5-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.5,Frank,1,,,
ACC-5-2.5.1-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.5.1,Frank,1,,,
ACC-5-2.6-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.6,Frank,1,,,
ACC-5-2.7-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.7,Frank,1,,,
ACC-5-2.7.1-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.7.1,Frank,1,,,
ACC-5-2.8-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.8,Frank,1,,,
ACC-5-2.8.1-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.8.1,Frank,1,,,
ACC-5-2.8.2-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.8.2,Frank,2,,,
ACC-5-2.8.2-HL70136,ACC,5,ACC-5,ID,HL70136,0136,2.8.2,IGAMT,2,,,
ACC-6-2.3-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.3,Frank,1,,,
ACC-6-2.3.1-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.3.1,Frank,1,,,
ACC-6-2.4-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.4,Frank,1,,,
ACC-6-2.5-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.5,Frank,1,,,
ACC-6-2.5.1-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.5.1,Frank,1,,,
ACC-6-2.6-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.6,Frank,1,,,
ACC-6-2.7-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.7,Frank,1,,,
ACC-6-2.7.1-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.7.1,Frank,1,,,
ACC-6-2.8-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.8,Frank,1,,,
ACC-6-2.8.1-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.8.1,Frank,1,,,
ACC-6-2.8.2-HL70136,ACC,6,ACC-6,ID,HL70136,0136,2.8.2,Frank,1,,,
ADJ-11-2.6-HL70569,ADJ,11,ADJ-11,IS,HL70569,0569,2.6,Frank,2,,,
ADJ-11-2.6-HL70569,ADJ,11,ADJ-11,IS,HL70569,0569,2.6,IGAMT,2,,,
ADJ-11-2.7-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.7,Frank,2,,,
ADJ-11-2.7-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.7,IGAMT,2,,,
ADJ-11-2.7.1-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.7.1,Frank,2,,,
ADJ-11-2.7.1-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.7.1,IGAMT,2,,,
ADJ-11-2.8-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8,Frank,2,,,
ADJ-11-2.8-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8,IGAMT,2,,,
ADJ-11-2.8.1-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8.1,Frank,2,,,
ADJ-11-2.8.1-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8.1,IGAMT,2,,,
ADJ-11-2.8.2-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8.2,Frank,2,,,
ADJ-11-2.8.2-HL70569,ADJ,11,ADJ-11,CWE,HL70569,0569,2.8.2,IGAMT,2,,,
ADJ-4-2.6-HL70564,ADJ,4,ADJ-4,IS,HL70564,0564,2.6,Frank,2,,,
ADJ-4-2.6-HL70564,ADJ,4,ADJ-4,IS,HL70564,0564,2.6,IGAMT,2,,,
ADJ-4-2.7-HL70564,ADJ,4,ADJ-4,CWE,HL70564,0564,2.7,Frank,2,,,
ADJ-4-2.7-HL70564,ADJ,4,ADJ-4,CWE,HL70564,0564,2.7,IGAMT,2,,,
ADJ-4-2.7.1-HL70564,ADJ,4,ADJ-4,CWE,HL70564,0564,2.7.1,Frank,2,,,
ADJ-4-2.7.1-HL70564,ADJ,4,ADJ-4,CWE,HL70564,0564,2.7.1,IGAMT,2,,,
ADJ-4-2.8-HL70564,ADJ,4,ADJ-4,CWE,HL70564,0564,2.8,Frank,2,,,
