sort,segment,position,field,datatype,HL7 table,table identifier,version,source,count,2611,,
ABS-10-2.4-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.4,Frank,1,,,
ABS-10-2.5-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.5,Frank,1,,,
ABS-10-2.5.1-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.5.1,Frank,1,,,
ABS-10-2.6-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.6,Frank,1,,,
ABS-10-2.7-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.7,Frank,1,,,
ABS-10-2.7.1-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.7.1,Frank,1,,,
ABS-10-2.8-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.8,Frank,1,,,
ABS-10-2.8.1-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.8.1,Frank,1,,,
ABS-10-2.8.2-HL70136,ABS,10,ABS-10,ID,HL70136,0136,2.8.2,Frank,1,,,
ABS-11-2.4-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.4,Frank,2,,,
ABS-11-2.4-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.4,IGAMT,2,,,
ABS-11-2.5-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.5,Frank,2,,,
ABS-11-2.5-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.5,IGAMT,2,,,
ABS-11-2.5.1-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.5.1,Frank,2,,,
ABS-11-2.5.1-HL70424,ABS,11,ABS-11,CE,HL70424,0424,2.5.1,IGAMT,2,,,
ABS-11-2.6-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.6,Frank,2,,,
ABS-11-2.6-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.6,IGAMT,2,,,
ABS-11-2.7-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.7,Frank,2,,,
ABS-11-2.7-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.7,IGAMT,2,,,
ABS-11-2.7.1-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.7.1,Frank,2,,,
ABS-11-2.7.1-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.7.1,IGAMT,2,,,
ABS-11-2.8-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8,Frank,2,,,
ABS-11-2.8-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8,IGAMT,2,,,
ABS-11-2.8.1-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8.1,Frank,2,,,
ABS-11-2.8.1-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8.1,IGAMT,2,,,
ABS-11-2.8.2-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8.2,Frank,2,,,
ABS-11-2.8.2-HL70424,ABS,11,ABS-11,CWE,HL70424,0424,2.8.2,IGAMT,2,,,
ABS-1-2.4-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.4,Frank,2,,,
ABS-1-2.4-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.4,IGAMT,2,,,
ABS-1-2.5-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.5,Frank,2,,,
ABS-1-2.5-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.5,IGAMT,2,,,
ABS-1-2.5.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.5.1,Frank,2,,,
ABS-1-2.5.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.5.1,IGAMT,2,,,
ABS-1-2.6-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.6,Frank,2,,,
ABS-1-2.6-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.6,IGAMT,2,,,
ABS-1-2.7-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.7,Frank,2,,,
ABS-1-2.7-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.7,IGAMT,2,,,
ABS-1-2.7.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.7.1,Frank,2,,,
ABS-1-2.7.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.7.1,IGAMT,2,,,
ABS-1-2.8-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8,Frank,2,,,
ABS-1-2.8-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8,IGAMT,2,,,
ABS-1-2.8.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8.1,Frank,2,,,
ABS-1-2.8.1-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8.1,IGAMT,2,,,
ABS-1-2.8.2-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8.2,Frank,2,,,
ABS-1-2.8.2-HL70010,ABS,1,ABS-1,XCN,HL70010,0010,2.8.2,IGAMT,2,,,
ABS-13-2.4-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.4,Frank,2,,,
ABS-13-2.4-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.4,IGAMT,2,,,
ABS-13-2.5-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.5,Frank,2,,,
ABS-13-2.5-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.5,IGAMT,2,,,
ABS-13-2.5.1-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.5.1,Frank,2,,,
ABS-13-2.5.1-HL70425,ABS,13,ABS-13,CE,HL70425,0425,2.5.1,IGAMT,2,,,
ABS-13-2.6-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.6,Frank,2,,,
ABS-13-2.6-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.6,IGAMT,2,,,
ABS-13-2.7-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.7,Frank,2,,,
ABS-13-2.7-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.7,IGAMT,2,,,
ABS-13-2.7.1-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.7.1,Frank,2,,,
ABS-13-2.7.1-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.7.1,IGAMT,2,,,
ABS-13-2.8-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8,Frank,2,,,
ABS-13-2.8-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8,IGAMT,2,,,
ABS-13-2.8.1-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8.1,Frank,2,,,
ABS-13-2.8.1-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8.1,IGAMT,2,,,
ABS-13-2.8.2-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8.2,Frank,2,,,
ABS-13-2.8.2-HL70425,ABS,13,ABS-13,CWE,HL70425,0425,2.8.2,IGAMT,2,,,
ABS-14-2.4-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.4,Frank,2,,,
ABS-14-2.4-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.4,IGAMT,2,,,
ABS-14-2.5-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.5,Frank,2,,,
ABS-14-2.5-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.5,IGAMT,2,,,
ABS-14-2.5.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.5.1,Frank,2,,,
ABS-14-2.5.1-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.5.1,IGAMT,2,,,
ABS-14-2.6-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.6,Frank,2,,,
ABS-14-2.6-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.6,IGAMT,2,,,
ABS-14-2.7-HL70136,ABS,14,ABS-14,ID,HL70136,0136,2.7,Frank,2,,,
