Segments, Location, Referenced Data type, Value Set
ABS,4,null,HL70000
ABS,8,null,HL70000
ABS,5,null,HL70000
ABS,3,null,HL70421
ABS,7,null,HL70000
ABS,9,null,HL70423
ABS,14,null,HL70136
ABS,10,null,HL70136
ABS,12,null,HL70000
ABS,6,null,HL70422
ABS,11,null,HL70424
ABS,13,null,HL70425
ABS,1,null,HL70010
ABS,2,null,HL70069
ACC,8,null,HL70000
ACC,10,null,HL70136
ACC,4,null,HL70347
ACC,6,null,HL70136
ACC,11,null,HL70000
ACC,12,null,HL70000
ACC,2,null,HL70050
ACC,1,null,HL70000
ACC,13,null,HL70000
ACC,7,null,HL70000
ACC,3,null,HL70000
ACC,9,null,HL70000
ACC,5,null,HL70136
ADD,1,null,HL70000
ADJ,1,null,HL70000
ADJ,13,null,HL70000
ADJ,14,null,HL70000
ADJ,2,null,HL70000
ADJ,9,null,HL70000
ADJ,5,null,HL70000
ADJ,6,null,HL70560
ADJ,15,null,HL70000
ADJ,8,null,HL70000
ADJ,11,null,HL70569
ADJ,4,null,HL70564
ADJ,10,null,HL70000
ADJ,12,null,HL70000
ADJ,3,null,HL70000
ADJ,7,null,HL70565
AFF,3,null,HL70000
AFF,1,null,HL70000
AFF,2,null,HL70000
AFF,5,null,HL70000
AFF,4,null,HL70000
AIG,8,null,HL70000
AIG,14,null,HL70278
AIG,1,null,HL70000
AIG,6,null,HL70000
AIG,13,null,HL70279
AIG,7,null,HL70000
AIG,10,null,HL70000
AIG,9,null,HL70000
AIG,11,null,HL70000
AIG,12,null,HL70000
AIG,3,null,HL70000
AIG,2,null,HL70206
AIG,4,null,HL70000
AIG,5,null,HL70000
AIL,7,null,HL70000
AIL,5,null,HL70000
AIL,4,null,HL70305
AIL,2,null,HL70206
AIL,6,null,HL70000
AIL,1,null,HL70000
AIL,3,null,HL70000
AIL,10,null,HL70000
AIL,12,null,HL70278
AIL,8,null,HL70000
AIL,11,null,HL70279
AIL,9,null,HL70000
AIP,3,null,HL70000
AIP,11,null,HL70279
AIP,7,null,HL70000
AIP,4,null,HL70182
AIP,1,null,HL70000
AIP,6,null,HL70000
AIP,9,null,HL70000
AIP,2,null,HL70206
AIP,5,null,HL70000
AIP,8,null,HL70000
AIP,10,null,HL70000
AIP,12,null,HL70278
AIS,7,null,HL70000
AIS,1,null,HL70000
AIS,3,null,HL70000
AIS,8,null,HL70000
AIS,11,null,HL70411
AIS,2,null,HL70206
AIS,6,null,HL70000
AIS,9,null,HL70279
AIS,4,null,HL70000
AIS,12,null,HL70411
AIS,5,null,HL70000
AIS,10,null,HL70278
AL1,1,null,HL70000
AL1,2,null,HL70127
AL1,3,null,HL70000
AL1,5,null,HL70000
AL1,6,null,HL70000
AL1,4,null,HL70128
APR,4,null,HL70000
APR,5,null,HL70000
APR,2,null,HL70294
APR,1,null,HL70294
APR,3,null,HL70294
ARQ,6,null,HL70000
ARQ,19,null,HL70000
ARQ,24,null,HL70000
ARQ,13,null,HL70000
ARQ,16,null,HL70000
ARQ,18,null,HL70000
ARQ,7,null,HL70276
ARQ,21,null,HL70000
ARQ,14,null,HL70000
ARQ,3,null,HL70000
ARQ,8,null,HL70277
ARQ,4,null,HL70000
ARQ,25,null,HL70000
ARQ,5,null,HL70000
ARQ,23,null,HL70000
ARQ,1,null,HL70000
ARQ,22,null,HL70000
ARQ,10,null,HL70000
ARQ,11,null,HL70000
ARQ,20,null,HL70000
ARQ,17,null,HL70000
ARQ,12,null,HL70000
ARQ,9,null,HL70000
ARQ,15,null,HL70000
ARQ,2,null,HL70000
ARV,4,null,HL70719
ARV,6,null,HL70000
ARV,3,null,HL70717
ARV,1,null,HL70000
ARV,2,null,HL70206
ARV,5,null,HL70000
AUT,19,null,HL70000
AUT,29,null,HL70206
AUT,26,null,HL70000
AUT,27,null,HL70000
AUT,10,null,HL70000
AUT,28,null,HL70000
AUT,17,null,HL70000
AUT,23,null,HL70000
AUT,22,null,HL70000
AUT,4,null,HL70000
AUT,6,null,HL70000
AUT,24,null,HL70000
AUT,20,null,HL70000
AUT,1,null,HL70072
AUT,2,null,HL70285
AUT,3,null,HL70000
AUT,15,null,HL70000
AUT,16,null,HL70000
AUT,8,null,HL70000
AUT,9,null,HL70000
AUT,5,null,HL70000
AUT,13,null,HL70000
AUT,21,null,HL70000
AUT,11,null,HL70000
AUT,12,null,HL70000
AUT,25,null,HL70000
AUT,14,null,HL70000
AUT,7,null,HL70000
AUT,18,null,HL70000
BHS,14,null,HL70000
BHS,1,null,HL70000
BHS,2,null,HL70000
BHS,8,null,HL70000
BHS,6,null,HL70000
BHS,7,null,HL70000
BHS,10,null,HL70000
BHS,4,null,HL70000
BHS,11,null,HL70000
BHS,5,null,HL70000
BHS,12,null,HL70000
BHS,13,null,HL70000
BHS,3,null,HL70000
BHS,9,null,HL70000
BLC,1,null,HL70426
BLC,2,null,HL70000
BLG,4,null,HL70475
BLG,3,null,HL70000
BLG,1,null,HL70100
BLG,2,null,HL70122
BPO,1,null,HL70000
BPO,11,null,HL70000
BPO,7,null,HL70000
BPO,14,null,HL70136
BPO,13,null,HL70509
BPO,12,null,HL70000
BPO,8,null,HL70000
BPO,5,null,HL70000
BPO,2,null,HL79999
BPO,6,null,HL79999
BPO,10,null,HL70000
BPO,9,null,HL70000
BPO,3,null,HL70508
BPO,4,null,HL70000
BPX,1,null,HL70000
BPX,18,null,HL70000
BPX,20,null,HL70000
BPX,21,null,HL70000
BPX,17,null,HL70000
BPX,6,null,HL79999
BPX,4,null,HL70000
BPX,8,null,HL70512
BPX,19,null,HL70000
BPX,14,null,HL70000
BPX,7,null,HL79999
BPX,5,null,HL70000
BPX,3,null,HL70511
BPX,15,null,HL70000
BPX,12,null,HL79999
BPX,13,null,HL70000
BPX,9,null,HL70000
BPX,11,null,HL79999
BPX,10,null,HL70000
BPX,16,null,HL79999
BPX,2,null,HL70510
BTS,2,null,HL70000
BTS,1,null,HL70000
BTS,3,null,HL70000
BTX,1,null,HL70000
BTX,12,null,HL70511
BTX,18,null,HL70514
BTX,9,null,HL70000
BTX,17,null,HL70000
BTX,19,null,HL70515
BTX,5,null,HL70512
BTX,16,null,HL70000
BTX,2,null,HL70000
BTX,13,null,HL70000
BTX,11,null,HL70513
BTX,6,null,HL70000
BTX,15,null,HL70000
BTX,20,null,HL70000
BTX,10,null,HL79999
BTX,7,null,HL70000
BTX,4,null,HL79999
BTX,14,null,HL70000
BTX,3,null,HL79999
BTX,8,null,HL70000
BUI,4,null,HL70000
BUI,7,null,HL70930
BUI,10,null,HL70000
BUI,12,null,HL70931
BUI,5,null,HL70929
BUI,3,null,HL70566
BUI,1,null,HL70000
BUI,9,null,HL70000
BUI,2,null,HL70000
BUI,6,null,HL70000
BUI,8,null,HL70000
BUI,11,null,HL70000
CDM,4,null,HL70000
CDM,2,null,HL70132
CDM,13,null,HL70136
CDM,5,null,HL70268
CDM,12,null,HL70000
CDM,6,null,HL70132
CDM,1,null,HL70000
CDM,7,null,HL70088
CDM,11,null,HL70000
CDM,3,null,HL70000
CDM,10,null,HL70000
CDM,9,null,HL70463
CDM,8,null,HL70183
CDO,1,null,HL70000
CDO,4,null,HL70924
CDO,3,null,HL70000
CDO,2,null,HL70206
CER,20,null,HL70347
CER,29,null,HL70000
CER,12,null,HL70000
CER,25,null,HL70000
CER,9,null,HL70289
CER,26,null,HL70000
CER,14,null,HL70000
CER,10,null,HL70000
CER,11,null,HL70000
CER,18,null,HL70000
CER,6,null,HL70000
CER,30,null,HL70000
CER,22,null,HL70547
CER,5,null,HL70000
CER,16,null,HL70000
CER,2,null,HL70000
CER,3,null,HL70000
CER,28,null,HL70000
CER,24,null,HL70000
CER,13,null,HL70000
CER,8,null,HL70347
CER,31,null,HL70536
CER,23,null,HL70000
CER,4,null,HL70000
CER,27,null,HL70000
CER,21,null,HL70289
CER,17,null,HL70136
CER,19,null,HL70399
CER,1,null,HL70000
CER,7,null,HL70399
CER,15,null,HL70000
CM0,3,null,HL70000
CM0,1,null,HL70000
CM0,8,null,HL70000
CM0,9,null,HL70000
CM0,10,null,HL70000
CM0,2,null,HL70000
CM0,6,null,HL70000
CM0,4,null,HL70000
CM0,5,null,HL70000
CM0,11,null,HL70000
CM0,7,null,HL70000
CM1,3,null,HL70000
CM1,1,null,HL70000
CM1,2,null,HL70000
CNS,6,null,HL79999
CNS,1,null,HL70000
CNS,2,null,HL70000
CNS,4,null,HL70000
CNS,3,null,HL70000
CNS,5,null,HL79999
CON,4,null,HL70000
CON,23,null,HL70502
CON,11,null,HL70498
CON,18,null,HL70296
CON,24,null,HL70000
CON,1,null,HL70000
CON,8,null,HL70000
CON,22,null,HL70501
CON,14,null,HL70000
CON,2,null,HL70496
CON,3,null,HL70000
CON,19,null,HL70136
