Segments, Location, Referenced Data type, Value Set
ABS,10,null,HL70136
ABS,4,null,HL70000
ABS,12,null,HL70000
ABS,6,null,HL70422
ABS,5,null,HL70000
ABS,8,null,HL70000
ABS,11,null,HL70424
ABS,13,null,HL70425
ABS,2,null,HL70069
ABS,9,null,HL70423
ABS,14,null,HL70136
ABS,7,null,HL70000
ABS,3,null,HL70421
ABS,1,null,HL70010
ACC,2,null,HL70050
ACC,1,null,HL70000
ACC,3,null,HL70000
ACC,6,null,HL70136
ACC,9,null,HL70000
ACC,11,null,HL70000
ACC,4,null,HL70347
ACC,5,null,HL70136
ACC,8,null,HL70000
ACC,7,null,HL70000
ACC,10,null,HL70136
ADD,1,null,HL70000
AFF,4,null,HL70000
AFF,3,null,HL70000
AFF,5,null,HL70000
AFF,1,null,HL70000
AFF,2,null,HL70000
AIG,2,null,HL70206
AIG,3,null,HL70000
AIG,11,null,HL70000
AIG,9,null,HL70000
AIG,4,null,HL70000
AIG,13,null,HL70279
AIG,5,null,HL70000
AIG,12,null,HL70000
AIG,1,null,HL70000
AIG,10,null,HL70000
AIG,7,null,HL70000
AIG,8,null,HL70000
AIG,14,null,HL70278
AIG,6,null,HL70000
AIL,9,null,HL70000
AIL,8,null,HL70000
AIL,11,null,HL70279
AIL,2,null,HL70206
AIL,6,null,HL70000
AIL,5,null,HL70000
AIL,7,null,HL70000
AIL,12,null,HL70278
AIL,3,null,HL70000
AIL,10,null,HL70000
AIL,1,null,HL70000
AIL,4,null,HL70305
AIP,10,null,HL70000
AIP,9,null,HL70000
AIP,4,null,HL70182
AIP,3,null,HL70000
AIP,5,null,HL70000
AIP,7,null,HL70000
AIP,11,null,HL70279
AIP,8,null,HL70000
AIP,12,null,HL70278
AIP,1,null,HL70000
AIP,2,null,HL70206
AIP,6,null,HL70000
AIS,2,null,HL70206
AIS,7,null,HL70000
AIS,4,null,HL70000
AIS,3,null,HL70000
AIS,10,null,HL70278
AIS,11,null,HL70411
AIS,12,null,HL70411
AIS,5,null,HL70000
AIS,6,null,HL70000
AIS,9,null,HL70279
AIS,1,null,HL70000
AIS,8,null,HL70000
AL1,3,null,HL70000
AL1,4,null,HL70128
AL1,5,null,HL70000
AL1,1,null,HL70000
AL1,2,null,HL70127
AL1,6,null,HL70000
APR,2,null,HL70294
APR,5,null,HL70000
APR,1,null,HL70294
APR,3,null,HL70294
APR,4,null,HL70000
ARQ,4,null,HL70000
ARQ,24,null,HL70000
ARQ,20,null,HL70000
ARQ,21,null,HL70000
ARQ,13,null,HL70000
ARQ,2,null,HL70000
ARQ,19,null,HL70000
ARQ,1,null,HL70000
ARQ,8,null,HL70277
ARQ,17,null,HL70000
ARQ,12,null,HL70000
ARQ,6,null,HL70000
ARQ,10,null,HL70000
ARQ,11,null,HL70000
ARQ,15,null,HL70000
ARQ,18,null,HL70000
ARQ,16,null,HL70000
ARQ,9,null,HL70000
ARQ,25,null,HL70000
ARQ,22,null,HL70000
ARQ,3,null,HL70000
ARQ,5,null,HL70000
ARQ,7,null,HL70276
ARQ,23,null,HL70000
ARQ,14,null,HL70000
AUT,2,null,HL70285
AUT,1,null,HL70072
AUT,9,null,HL70000
AUT,3,null,HL70000
AUT,7,null,HL70000
AUT,4,null,HL70000
AUT,5,null,HL70000
AUT,8,null,HL70000
AUT,6,null,HL70000
AUT,10,null,HL70000
BHS,10,null,HL70000
BHS,6,null,HL70000
BHS,7,null,HL70000
BHS,9,null,HL70000
BHS,4,null,HL70000
BHS,1,null,HL70000
BHS,3,null,HL70000
BHS,11,null,HL70000
BHS,2,null,HL70000
BHS,12,null,HL70000
BHS,8,null,HL70000
BHS,5,null,HL70000
BLC,1,null,HL70426
BLC,2,null,HL70000
BLG,3,null,HL70000
BLG,1,null,HL70100
BLG,2,null,HL70122
BLG,4,null,HL70475
BPO,11,null,HL70000
BPO,12,null,HL70000
BPO,7,null,HL70000
BPO,3,null,HL70508
BPO,8,null,HL70000
BPO,13,null,HL70509
BPO,10,null,HL70000
BPO,9,null,HL70000
BPO,14,null,HL70136
BPO,4,null,HL70000
BPO,2,null,HL70000
BPO,5,null,HL70000
BPO,1,null,HL70000
BPO,6,null,HL70000
BPX,8,null,HL70512
BPX,19,null,HL70000
BPX,4,null,HL70000
BPX,13,null,HL70000
BPX,15,null,HL70000
BPX,3,null,HL70511
BPX,21,null,HL70000
BPX,7,null,HL70000
BPX,12,null,HL70000
BPX,16,null,HL70000
BPX,17,null,HL70000
BPX,6,null,HL70000
BPX,18,null,HL70000
BPX,1,null,HL70000
BPX,5,null,HL70000
BPX,10,null,HL70000
BPX,14,null,HL70000
BPX,20,null,HL70000
BPX,11,null,HL70000
BPX,2,null,HL70510
BPX,9,null,HL70000
BTS,2,null,HL70000
BTS,1,null,HL70000
BTS,3,null,HL70000
BTX,19,null,HL70515
BTX,17,null,HL70000
BTX,18,null,HL70514
BTX,13,null,HL70000
BTX,10,null,HL70000
BTX,8,null,HL70000
BTX,12,null,HL70511
BTX,15,null,HL70000
BTX,16,null,HL70000
BTX,1,null,HL70000
BTX,4,null,HL70000
BTX,5,null,HL70512
BTX,6,null,HL70000
BTX,7,null,HL70000
BTX,11,null,HL70513
BTX,9,null,HL70000
BTX,2,null,HL70000
BTX,3,null,HL70000
BTX,14,null,HL70000
CDM,7,null,HL70088
CDM,5,null,HL70268
CDM,6,null,HL70000
CDM,9,null,HL70463
CDM,2,null,HL70000
CDM,1,null,HL70132
CDM,11,null,HL70000
CDM,10,null,HL70000
CDM,12,null,HL70000
CDM,4,null,HL70000
CDM,8,null,HL70183
CDM,3,null,HL70000
CDM,13,null,HL70136
CER,8,null,HL70347
CER,25,null,HL70000
CER,19,null,HL70399
CER,29,null,HL70000
CER,31,null,HL70536
CER,10,null,HL70000
CER,30,null,HL70000
CER,22,null,HL70547
CER,15,null,HL70000
CER,11,null,HL70000
CER,1,null,HL70000
CER,14,null,HL70000
CER,26,null,HL70000
CER,28,null,HL70000
CER,24,null,HL70000
CER,27,null,HL70000
CER,7,null,HL70399
CER,20,null,HL70347
CER,13,null,HL70000
CER,16,null,HL70000
CER,17,null,HL70136
CER,9,null,HL70289
CER,23,null,HL70000
CER,6,null,HL70000
CER,4,null,HL70000
CER,5,null,HL70000
CER,3,null,HL70000
CER,2,null,HL70000
CER,12,null,HL70000
CER,18,null,HL70000
CER,21,null,HL70289
CM0,3,null,HL70000
CM0,11,null,HL70000
CM0,5,null,HL70000
CM0,7,null,HL70000
CM0,9,null,HL70000
CM0,10,null,HL70000
CM0,1,null,HL70000
CM0,8,null,HL70000
CM0,2,null,HL70000
CM0,6,null,HL70000
CM0,4,null,HL70000
CM1,1,null,HL70000
CM1,2,null,HL70000
CM1,3,null,HL70000
CNS,1,null,HL70000
CNS,5,null,HL70000
CNS,3,null,HL70000
CNS,6,null,HL70000
CNS,4,null,HL70000
CNS,2,null,HL70000
CON,7,null,HL70000
CON,20,null,HL70499
CON,14,null,HL70000
CON,12,null,HL70000
CON,9,null,HL70000
CON,23,null,HL70502
CON,22,null,HL70501
CON,5,null,HL70000
CON,4,null,HL70000
CON,8,null,HL70000
CON,10,null,HL70497
CON,16,null,HL70136
CON,2,null,HL70496
CON,11,null,HL70498
CON,3,null,HL70000
CON,15,null,HL70000
CON,21,null,HL70500
CON,6,null,HL70000
CON,17,null,HL70136
CON,24,null,HL70000
CON,1,null,HL70000
CON,19,null,HL70136
CON,18,null,HL70296
CON,25,null,HL70548
CON,13,null,HL70000
CSP,1,null,HL70000
CSP,2,null,HL70000
CSP,3,null,HL70000
CSP,4,null,HL70000
CSR,7,null,HL70000
CSR,2,null,HL70000
CSR,11,null,HL70000
CSR,16,null,HL70000
CSR,10,null,HL70000
CSR,14,null,HL70000
CSR,1,null,HL70000
CSR,15,null,HL70000
CSR,5,null,HL70000
CSR,4,null,HL70000
CSR,8,null,HL70000
CSR,6,null,HL70000
CSR,13,null,HL70000
CSR,3,null,HL70000
CSR,12,null,HL70000
CSR,9,null,HL70000
CSS,1,null,HL70000
CSS,2,null,HL70000
CSS,3,null,HL70000
CTD,4,null,HL70000
CTD,7,null,HL70000
CTD,3,null,HL70000
CTD,2,null,HL70000
CTD,6,null,HL70185
CTD,1,null,HL70131
CTD,5,null,HL70000
CTI,1,null,HL70000
CTI,2,null,HL70000
CTI,3,null,HL70000
DB1,7,null,HL70000
DB1,6,null,HL70000
DB1,2,null,HL70334
DB1,1,null,HL70000
DB1,3,null,HL70000
DB1,4,null,HL70136
DB1,8,null,HL70000
DB1,5,null,HL70000
DG1,5,null,HL70000
DG1,16,null,HL70000
DG1,12,null,HL70000
DG1,3,null,HL70051
DG1,4,null,HL70000
DG1,8,null,HL70055
DG1,1,null,HL70000
DG1,18,null,HL70136
DG1,11,null,HL70083
DG1,6,null,HL70052
DG1,19,null,HL70000
DG1,13,null,HL70000
DG1,9,null,HL70136
DG1,21,null,HL70206
DG1,20,null,HL70000
