Segments, Location, Referenced Data type, Value Set
SCP,7,CWE,HL70657
SCP,3,CWE,HL70653
SCP,8,CWE,HL70659
SCP,2,CWE,HL70651
APR,1,SCV,HL70294
APR,2,SCV,HL70294
APR,3,SCV,HL70294
QPD,1,CWE,HL70471
STF,40,CWE,HL70006
STF,38,CWE,HL70540
STF,8,CWE,HL70184
STF,4,CWE,HL70182
STF,36,CWE,HL70539
STF,39,CWE,HL70771
STF,28,CWE,HL70189
STF,19,JCC,HL70327
STF,16,CWE,HL70185
STF,7,ID,HL70183
STF,21,ID,HL70136
STF,30,CWE,HL70171
STF,1,CWE,HL79999
STF,2,CX,HL70061
STF,5,CWE,HL70001
STF,12,DIN,HL70537
STF,17,CWE,HL70002
STF,33,CWE,HL70538
STF,20,CWE,HL70066
STF,9,CWE,HL70069
STF,27,CWE,HL70005
STF,13,DIN,HL70537
STF,23,ID,HL70136
STF,29,ID,HL70136
STF,32,ID,HL70136
STF,37,ID,HL70136
IPR,4,CWE,HL70571
CDM,8,ID,HL70183
CDM,9,CWE,HL70463
CDM,13,ID,HL70136
CDM,5,CWE,HL70268
CDM,7,CNE,HL70088
CDM,2,CWE,HL70132
CDM,1,CWE,HL70132
CDM,6,CWE,HL70132
DG1,10,CWE,HL70056
DG1,7,CNE,HL70118
DG1,15,NM,HL70359
DG1,17,CWE,HL70228
DG1,8,CNE,HL70055
DG1,11,CWE,HL70083
DG1,26,CWE,HL70895
DG1,6,CWE,HL70052
DG1,21,ID,HL70206
DG1,23,CWE,HL70728
DG1,3,CWE,HL70051
DG1,25,CWE,HL70731
DG1,18,ID,HL70136
DG1,24,ID,HL70136
DG1,9,ID,HL70136
OM1,27,CWE,HL79999
OM1,43,CWE,HL70255
OM1,44,TX,HL70256
OM1,30,CWE,HL70177
OM1,26,ID,HL70169
OM1,12,ID,HL70136
OM1,3,ID,HL70125
OM1,47,CWE,HL70910
OM1,45,CWE,HL70258
OM1,25,ID,HL70168
OM1,18,CWE,HL70174
OM1,42,CWE,HL70254
OM1,13,CWE,HL79999
OM1,14,CWE,HL79999
OM1,15,ID,HL70136
OM1,16,CWE,HL79999
OM1,19,CWE,HL79999
OM1,2,CWE,HL79999
OM1,31,CWE,HL79999
OM1,33,CWE,HL79999
OM1,34,CWE,HL79999
OM1,36,CWE,HL79999
OM1,38,CWE,HL79999
OM1,4,ID,HL70136
OM1,46,CWE,HL79999
OM1,5,CWE,HL79999
OM1,7,CWE,HL79999
SDD,5,CWE,HL70669
SDD,4,CWE,HL70667
OM3,2,CWE,HL79999
OM3,7,ID,HL70125
OM3,3,CWE,HL79999
OM3,4,CWE,HL79999
OM3,5,CWE,HL79999
OM3,6,CWE,HL79999
NK1,34,CWE,HL70311
NK1,27,CWE,HL70212
NK1,35,CWE,HL70005
NK1,39,CWE,HL70099
NK1,7,CWE,HL70131
NK1,23,ID,HL70136
NK1,18,CWE,HL70009
NK1,21,CWE,HL70220
NK1,36,CWE,HL70295
NK1,19,CWE,HL70171
NK1,15,CWE,HL70001
NK1,29,CWE,HL70222
NK1,24,CWE,HL70231
NK1,14,CWE,HL70002
NK1,22,CWE,HL70215
NK1,25,CWE,HL70006
NK1,3,CWE,HL70063
NK1,20,CWE,HL70296
NK1,17,CWE,HL70223
NK1,28,CWE,HL70189
NK1,2,XPN,HL70200
NK1,30,XPN,HL70200
OM2,2,CWE,HL79999
OM2,4,CWE,HL79999
OM5,2,CWE,HL79999
OM4,6,CWE,HL79999
OM4,7,CWE,HL70371
OM4,2,ID,HL70170
OM4,13,ID,HL70027
OM4,5,CWE,HL79999
OM7,11,ID,HL70136
OM7,24,CWE,HL70132
OM7,12,CWE,HL70413
OM7,3,CWE,HL70412
OM7,16,CWE,HL70414
OM7,22,CWE,HL70473
OM7,9,CWE,HL79999
OM7,18,CWE,HL70414
OM7,23,ID,HL70136
STZ,1,CWE,HL70806
STZ,4,CWE,HL70811
STZ,2,CWE,HL70702
STZ,3,CWE,HL70809
ODT,1,CWE,HL70160
ODT,2,CWE,HL79999
AIG,13,CWE,HL70279
AIG,2,ID,HL70206
AIG,14,CWE,HL70278
NSC,9,HD,HL70362
NSC,8,HD,HL70361
NSC,1,CWE,HL70409
NSC,4,HD,HL70361
NSC,5,HD,HL70362
ODS,2,CWE,HL79999
ODS,1,ID,HL70159
ODS,3,CWE,HL79999
LOC,9,CWE,HL70442
LOC,7,CWE,HL70461
LOC,8,CWE,HL70261
LOC,3,CWE,HL70260
FT1,28,CWE,HL70476
FT1,20,XCN,HL70084
FT1,25,CNE,HL70088
FT1,18,CWE,HL70018
FT1,29,CWE,HL70549
FT1,27,CWE,HL70339
FT1,6,CWE,HL70017
FT1,14,CWE,HL70072
FT1,7,CWE,HL70132
FT1,26,CNE,HL70340
FT1,17,CWE,HL70024
FT1,41,CWE,HL70456
FT1,19,CWE,HL70051
FT1,13,CWE,HL70049
AIL,4,CWE,HL70305
AIL,11,CWE,HL70279
AIL,2,ID,HL70206
AIL,12,CWE,HL70278
EQP,1,CWE,HL70450
AIP,2,ID,HL70206
AIP,4,CWE,HL70182
AIP,11,CWE,HL70279
AIP,12,CWE,HL70278
EQU,3,CWE,HL70365
EQU,5,CWE,HL70367
EQU,4,CWE,HL70366
AIS,12,CWE,HL70411
AIS,2,ID,HL70206
AIS,9,CWE,HL70279
AIS,10,CWE,HL70278
AIS,11,CWE,HL70411
IIM,15,CNE,HL70340
IIM,13,CWE,HL70818
IIM,14,CNE,HL70088
IIM,9,CWE,HL70818
QID,2,CWE,HL70471
NST,3,ID,HL70332
NST,1,ID,HL70136
CER,21,CWE,HL70289
CER,22,CWE,HL70547
CER,17,ID,HL70136
CER,31,CWE,HL70536
CER,7,ID,HL70399
CER,8,CWE,HL70347
CER,19,ID,HL70399
CER,20,CWE,HL70347
CER,9,CWE,HL70289
IAM,9,CWE,HL70436
IAM,4,CWE,HL70128
IAM,6,CNE,HL70206
IAM,17,CWE,HL70438
IAM,15,CWE,HL70063
IAM,16,CWE,HL70437
IAM,2,CWE,HL70127
UAC,1,CWE,HL70615
BLC,1,CWE,HL70426
QAK,3,CWE,HL70471
QAK,2,ID,HL70208
IAR,3,CWE,HL70436
IAR,2,CWE,HL70128
BLG,1,CCD,HL70100
BLG,4,CWE,HL70475
BLG,2,ID,HL70122
TXA,18,ID,HL70272
TXA,19,ID,HL70273
TXA,20,ID,HL70275
TXA,17,ID,HL70271
TXA,3,ID,HL70191
TXA,2,CWE,HL70270
NTE,4,CWE,HL70364
NTE,2,ID,HL70105
RCP,7,ID,HL70391
RCP,3,CNE,HL70394
RCP,2,CQ,HL70126
RCP,1,ID,HL70091
RCP,5,ID,HL70395
ARQ,8,CWE,HL70277
ARQ,7,CWE,HL70276
MRG,5,CX,HL70061
MRG,7,XPN,HL70200
MRG,1,CX,HL70061
MRG,3,CX,HL70061
MRG,6,CX,HL70061
ERR,11,CWE,HL70519
ERR,9,CWE,HL70517
ERR,4,ID,HL70516
ERR,5,CWE,HL70533
ERR,10,CWE,HL70518
ERR,3,CWE,HL70357
UB2,3,CWE,HL70043
ARV,2,CNE,HL70206
ARV,3,CWE,HL70717
ARV,4,CWE,HL70719
BTX,10,CWE,HL79999
BTX,5,CWE,HL70512
BTX,19,CWE,HL70515
BTX,11,CWE,HL70513
BTX,18,CWE,HL70514
BTX,12,ID,HL70511
BTX,3,CNE,HL79999
BTX,4,CNE,HL79999
CNS,5,CWE,HL79999
CNS,6,CWE,HL79999
QRI,2,CWE,HL70392
QRI,3,CWE,HL70393
ABS,9,CWE,HL70423
ABS,6,CWE,HL70422
ABS,14,ID,HL70136
ABS,1,XCN,HL70010
ABS,3,CWE,HL70421
ABS,11,CWE,HL70424
ABS,13,CWE,HL70425
ABS,2,CWE,HL70069
ABS,10,ID,HL70136
TQ2,2,ID,HL70503
TQ2,7,ID,HL70505
TQ2,6,ID,HL70504
TQ2,10,ID,HL70506
RDF,2,RCD,HL70440
TQ1,12,ID,HL70472
TQ1,9,CWE,HL70485
MSA,8,ID,HL70520
MSA,1,ID,HL70008
ISD,3,CWE,HL70387
ISD,2,CWE,HL70368
NDS,4,CWE,HL79999
NDS,3,CWE,HL70367
PYE,7,CWE,HL70570
PYE,3,CWE,HL70558
PYE,2,CWE,HL70557
ACC,2,CWE,HL70050
ACC,10,ID,HL70136
ACC,4,CWE,HL70347
ACC,5,ID,HL70136
ACC,6,ID,HL70136
CON,18,CWE,HL70296
CON,10,CNE,HL70497
CON,11,CNE,HL70498
CON,21,ID,HL70500
CON,25,CWE,HL70548
CON,19,ID,HL70136
CON,20,CWE,HL70499
CON,2,CWE,HL70496
CON,23,CWE,HL70502
CON,22,CWE,HL70501
CON,16,ID,HL70136
CON,17,ID,HL70136
MSH,16,ID,HL70155
MSH,18,ID,HL70211
MSH,17,ID,HL70399
MSH,20,ID,HL70356
MSH,6,HD,HL70362
MSH,5,HD,HL70361
MSH,15,ID,HL70155
MSH,3,HD,HL70361
MSH,4,HD,HL70362
GOL,22,CNE,HL70725
GOL,1,ID,HL70287
AL1,4,CWE,HL70128
AL1,2,CWE,HL70127
ECD,2,CWE,HL70368
ECD,3,ID,HL70136
GP2,12,CWE,HL70470
GP2,7,CWE,HL70466
GP2,1,CWE,HL70456
GP2,8,CWE,HL70467
GP2,10,CWE,HL70469
GP2,5,CWE,HL70460
GP2,6,CWE,HL70458
GP2,4,CWE,HL70459
GP2,9,CWE,HL70468
GP1,2,CWE,HL70456
GP1,4,CWE,HL70458
GP1,3,CWE,HL70457
GP1,1,CWE,HL70455
PID,35,CWE,HL70446
PID,15,CWE,HL70296
PID,17,CWE,HL70006
PID,16,CWE,HL70002
PID,32,CWE,HL70445
PID,28,CWE,HL70212
PID,39,CWE,HL70171
PID,8,CWE,HL70001
PID,27,CWE,HL70172
PID,38,CWE,HL70429
PID,36,CWE,HL70447
PID,10,CWE,HL70005
PID,22,CWE,HL70189
PID,18,CX,HL70061
PID,24,ID,HL70136
PID,21,CX,HL70061
PID,26,CWE,HL70171
PID,30,ID,HL70136
PID,31,ID,HL70136
PID,5,XPN,HL70200
PR1,24,ID,HL70136
PR1,9,CWE,HL70019
PR1,13,CWE,HL70059
PR1,6,CWE,HL70230
PR1,22,CWE,HL70763
PR1,15,CWE,HL70051
PR1,18,CWE,HL70417
PR1,14,NM,HL70418
PR1,20,ID,HL70206
PR1,21,CWE,HL70761
PR1,17,CWE,HL70416
PR1,3,CNE,HL70088
PR1,16,CNE,HL70340
RMI,3,CWE,HL70428
RMI,1,CWE,HL70427
DB1,2,CWE,HL70334
DB1,4,ID,HL70136
PAC,5,CWE,HL70908
PAC,6,CWE,HL70544
PAC,8,CWE,HL70489
PAC,7,CWE,HL70376
ECR,1,CWE,HL70387
DRG,14,CWE,HL70728
DRG,29,CWE,HL70749
DRG,33,CWE,HL70759
DRG,13,CWE,HL70734
DRG,17,CWE,HL70739
DRG,11,CWE,HL70415
DRG,1,CNE,HL70055
DRG,4,CWE,HL70056
DRG,31,CWE,HL70755
DRG,5,CWE,HL70083
