Segments, Location, Referenced Data type, Value Set
ABS,6,CE,HL70422
ABS,9,CE,HL70423
ABS,2,CE,HL70069
ABS,13,CE,HL70425
ABS,14,ID,HL70136
ABS,3,CE,HL70421
ABS,1,XCN,HL70010
ABS,10,ID,HL70136
ABS,11,CE,HL70424
ACC,4,CE,HL70347
ACC,2,CE,HL70050
ACC,10,ID,HL70136
ACC,5,ID,HL70136
ACC,6,ID,HL70136
AIG,2,ID,HL70206
AIG,14,CE,HL70278
AIG,13,IS,HL70279
AIL,12,CE,HL70278
AIL,2,ID,HL70206
AIL,11,IS,HL70279
AIP,2,ID,HL70206
AIP,12,CE,HL70278
AIP,11,IS,HL70279
AIS,12,CE,HL70411
AIS,9,IS,HL70279
AIS,11,CE,HL70411
AIS,10,CE,HL70278
AIS,2,ID,HL70206
AL1,2,CE,HL70127
AL1,4,CE,HL70128
APR,3,SCV,HL70294
APR,2,SCV,HL70294
APR,1,SCV,HL70294
ARQ,7,CE,HL70276
ARQ,8,CE,HL70277
AUT,1,CE,HL70072
AUT,2,CE,HL70285
BLC,1,CE,HL70426
BLG,2,ID,HL70122
BLG,1,CCD,HL70100
CDM,7,CE,HL70088
CDM,2,CE,HL79999
CDM,1,CE,HL70132
CDM,13,ID,HL70136
CDM,5,IS,HL70268
CDM,9,CE,HL70463
CDM,8,ID,HL70183
CDM,6,CE,HL79999
CM2,4,CE,HL79999
CM2,2,CE,HL79999
CTD,6,CE,HL70185
CTD,1,CE,HL70131
DB1,2,IS,HL70334
DB1,4,ID,HL70136
DG1,8,CE,HL70055
DG1,11,CE,HL70083
DG1,17,IS,HL70228
DG1,15,ID,HL70359
DG1,2,ID,HL70053
DG1,10,IS,HL70056
DG1,7,CE,HL70118
DG1,3,CE,HL70051
DG1,6,IS,HL70052
DG1,9,ID,HL70136
DG1,18,ID,HL70136
DRG,1,CE,HL70055
DRG,4,IS,HL70056
DRG,8,IS,HL70229
DRG,10,ID,HL70136
DRG,5,CE,HL70083
DRG,11,IS,HL70415
DRG,3,ID,HL70136
DSC,2,ID,HL70398
ECD,2,CE,HL70368
ECD,3,ID,HL70136
ECR,1,CE,HL70387
EDU,7,CE,HL70402
EDU,2,IS,HL70360
EQL,2,ID,HL70106
EQP,1,CE,HL70450
EQU,3,CE,HL70365
EQU,4,CE,HL70366
EQU,5,CE,HL70367
EVN,1,ID,HL70003
EVN,4,IS,HL70062
EVN,5,XCN,HL70188
FAC,2,ID,HL70331
FT1,18,IS,HL70018
FT1,7,CE,HL70132
FT1,13,CE,HL70049
FT1,19,CE,HL70051
FT1,14,CE,HL70072
FT1,20,XCN,HL70084
FT1,17,IS,HL70024
FT1,26,CE,HL70340
FT1,25,CE,HL70088
FT1,6,IS,HL70017
GOL,1,ID,HL70287
GP1,4,IS,HL70458
GP1,1,IS,HL70455
GP1,2,IS,HL70456
GP1,3,IS,HL70457
GP2,1,IS,HL70456
GP2,10,IS,HL70469
GP2,12,IS,HL70470
GP2,4,IS,HL70459
GP2,5,IS,HL70460
GP2,7,CE,HL70466
GP2,9,IS,HL70468
GP2,6,IS,HL70458
GP2,8,IS,HL70467
GT1,20,IS,HL70066
GT1,36,CE,HL70296
GT1,41,CE,HL70006
GT1,43,CE,HL70212
GT1,10,IS,HL70068
GT1,47,CE,HL70222
GT1,33,IS,HL70223
GT1,23,CE,HL70341
GT1,38,CE,HL70215
GT1,37,IS,HL70220
GT1,50,JCC,HL70327
GT1,11,CE,HL70063
GT1,35,CE,HL70171
GT1,54,FC,HL70064
GT1,30,CE,HL70002
GT1,39,ID,HL70136
GT1,25,ID,HL70136
GT1,48,IS,HL70063
GT1,40,IS,HL70231
GT1,9,IS,HL70001
GT1,34,IS,HL70009
GT1,44,CE,HL70189
GT1,22,ID,HL70136
GT1,55,CE,HL70005
GT1,53,IS,HL70311
GT1,52,IS,HL70295
GT1,26,CE,HL70218
IAM,9,CE,HL70436
IAM,17,CE,HL70438
IAM,6,CNE,HL70323
IAM,15,CE,HL70063
IAM,16,CE,HL70437
IAM,2,CE,HL70127
IAM,4,CE,HL70128
IN1,42,CE,HL70066
IN1,35,IS,HL70042
IN1,21,IS,HL70173
IN1,32,IS,HL70022
IN1,31,IS,HL70098
IN1,27,IS,HL70093
IN1,46,IS,HL70072
IN1,15,IS,HL70086
IN1,48,IS,HL70295
IN1,47,IS,HL70309
IN1,23,ID,HL70136
IN1,17,CE,HL70063
IN1,43,IS,HL70001
IN1,2,CE,HL70072
IN1,20,IS,HL70135
IN1,25,ID,HL70136
IN2,54,IS,HL70222
IN2,4,IS,HL70139
IN2,36,CE,HL70215
IN2,66,ID,HL70136
IN2,11,CE,HL70342
IN2,62,CE,HL70063
IN2,27,IS,HL70144
IN2,32,IS,HL70009
IN2,68,ID,HL70136
IN2,51,IS,HL70222
IN2,28,RMC,HL70145
IN2,71,CE,HL70005
IN2,37,ID,HL70136
IN2,15,IS,HL70141
IN2,34,CE,HL70296
IN2,24,IS,HL70143
IN2,48,IS,HL70311
IN2,67,ID,HL70136
IN2,59,IS,HL70312
IN2,72,CE,HL70344
IN2,14,IS,HL70140
IN2,18,ID,HL70136
IN2,43,CE,HL70002
IN2,57,IS,HL70232
IN2,20,ID,HL70136
IN2,16,IS,HL70142
IN2,35,IS,HL70220
IN2,19,ID,HL70136
IN2,33,CE,HL70171
IN2,38,IS,HL70231
IN2,31,IS,HL70223
IN2,60,IS,HL70313
IN2,42,CE,HL70189
IN2,5,IS,HL70137
IN2,47,JCC,HL70327
IN2,29,PTA,HL70147
IN2,41,CE,HL70212
IN2,65,CE,HL70343
IN2,39,CE,HL70006
IN3,14,XCN,HL70010
IN3,25,XCN,HL70010
IN3,11,DTN,HL70149
IN3,18,CE,HL70346
IN3,23,IS,HL70151
IN3,5,MOP,HL70148
IN3,24,IS,HL70152
IN3,17,CE,HL70345
IN3,4,ID,HL70136
IN3,12,CE,HL70233
IN3,20,PCF,HL70150
INV,1,CE,HL70451
INV,18,CE,HL70386
INV,17,CE,HL70385
INV,2,CE,HL70383
INV,3,CE,HL70384
ISD,3,CE,HL70387
ISD,2,CE,HL70368
LAN,3,CE,HL70403
LAN,2,CE,HL70296
LAN,4,CE,HL70404
LCC,4,CE,HL70132
LCC,2,CE,HL70264
LCC,3,CE,HL70129
LCH,4,CE,HL70324
LCH,2,ID,HL70206
LCH,5,CE,HL70136
LDP,6,ID,HL70183
LDP,10,VH,HL70267
LDP,5,IS,HL70004
LDP,3,IS,HL70069
LDP,2,CE,HL70264
LDP,4,CE,HL70265
LDP,12,CE,HL70462
LOC,8,IS,HL70261
LOC,9,IS,HL70442
LOC,3,IS,HL70260
LOC,7,CE,HL70461
LRL,2,ID,HL70206
LRL,4,CE,HL70325
MFA,4,CE,HL70181
MFA,1,ID,HL70180
MFA,6,ID,HL70355
MFA,5,CE,HL79999
MFE,1,ID,HL70180
MFE,5,ID,HL70355
MFI,6,ID,HL70179
MFI,3,ID,HL70178
MFI,1,CE,HL70175
MSA,1,ID,HL70008
MSA,6,CE,HL70357
MSA,5,ID,HL70102
MSH,15,ID,HL70155
MSH,12,VID,HL70104
MSH,21,ID,HL70449
MSH,6,HD,HL70362
MSH,5,HD,HL70361
MSH,16,ID,HL70155
MSH,20,ID,HL70356
MSH,9,MSG,HL70076
MSH,3,HD,HL70361
MSH,18,ID,HL70211
MSH,4,HD,HL70362
MSH,17,ID,HL70399
NDS,3,CE,HL70367
NK1,29,CE,HL70222
NK1,22,CE,HL70215
NK1,18,IS,HL70009
NK1,23,ID,HL70136
NK1,11,JCC,HL70327
NK1,34,IS,HL70311
NK1,24,IS,HL70231
NK1,17,IS,HL70223
NK1,25,CE,HL70006
NK1,3,CE,HL70063
NK1,7,CE,HL70131
NK1,15,IS,HL70001
NK1,14,CE,HL70002
NK1,20,CE,HL70296
NK1,35,CE,HL70005
NK1,19,CE,HL70171
NK1,36,IS,HL70295
NK1,27,CE,HL70212
NK1,21,IS,HL70220
NK1,28,CE,HL70189
NPU,2,IS,HL70116
NSC,1,IS,HL70409
NST,3,ID,HL70332
NST,1,ID,HL70136
NTE,4,CE,HL70364
NTE,2,ID,HL70105
OBR,44,CE,HL70088
OBR,45,CE,HL70340
OBR,47,CE,HL70411
OBR,30,ID,HL70124
OBR,24,ID,HL70074
OBR,11,ID,HL70065
OBR,42,ID,HL70225
OBR,46,CE,HL70411
