Segments, Location, Referenced Data type, Value Set
ACC,3,null,HL70000
ACC,2,null,HL70050
ACC,6,null,HL70136
ACC,1,null,HL70000
ACC,4,null,HL70347
ACC,5,null,HL70136
ADD,1,null,HL70000
AIG,9,null,HL70000
AIG,8,null,HL70000
AIG,1,null,HL70000
AIG,10,null,HL70000
AIG,6,null,HL70000
AIG,14,null,HL70278
AIG,3,null,HL70000
AIG,12,null,HL70000
AIG,7,null,HL70000
AIG,2,null,HL70206
AIG,4,null,HL70000
AIG,5,null,HL70000
AIG,11,null,HL70000
AIG,13,null,HL70279
AIL,8,null,HL70000
AIL,1,null,HL70000
AIL,11,null,HL70279
AIL,5,null,HL70000
AIL,6,null,HL70000
AIL,10,null,HL70000
AIL,3,null,HL70000
AIL,12,null,HL70278
AIL,4,null,HL70000
AIL,7,null,HL70000
AIL,9,null,HL70000
AIL,2,null,HL70206
AIP,1,null,HL70000
AIP,7,null,HL70000
AIP,8,null,HL70000
AIP,5,null,HL70000
AIP,12,null,HL70278
AIP,4,null,HL70000
AIP,9,null,HL70000
AIP,11,null,HL70279
AIP,3,null,HL70000
AIP,6,null,HL70000
AIP,10,null,HL70000
AIP,2,null,HL70206
AIS,1,null,HL70000
AIS,3,null,HL70000
AIS,2,null,HL70206
AIS,9,null,HL70279
AIS,10,null,HL70278
AIS,4,null,HL70000
AIS,6,null,HL70000
AIS,7,null,HL70000
AIS,8,null,HL70000
AIS,5,null,HL70000
AL1,2,null,HL70127
AL1,6,null,HL70000
AL1,1,null,HL70000
AL1,5,null,HL70000
AL1,3,null,HL70000
AL1,4,null,HL70128
APR,4,null,HL70000
APR,3,null,HL70294
APR,5,null,HL70000
APR,1,null,HL70294
APR,2,null,HL70294
ARQ,21,null,HL70000
ARQ,19,null,HL70000
ARQ,6,null,HL70000
ARQ,20,null,HL70000
ARQ,22,null,HL70000
ARQ,4,null,HL70000
ARQ,2,null,HL70000
ARQ,15,null,HL70000
ARQ,23,null,HL70000
ARQ,10,null,HL70000
ARQ,16,null,HL70000
ARQ,3,null,HL70000
ARQ,8,null,HL70277
ARQ,1,null,HL70000
ARQ,18,null,HL70000
ARQ,5,null,HL70000
ARQ,7,null,HL70276
ARQ,11,null,HL70000
ARQ,9,null,HL70000
ARQ,12,null,HL70000
ARQ,13,null,HL70000
ARQ,14,null,HL70000
ARQ,17,null,HL70000
AUT,1,null,HL70072
AUT,10,null,HL70000
AUT,6,null,HL70000
AUT,7,null,HL70000
AUT,9,null,HL70000
AUT,2,null,HL70285
AUT,8,null,HL70000
AUT,4,null,HL70000
AUT,5,null,HL70000
AUT,3,null,HL70000
BHS,6,null,HL70000
BHS,11,null,HL70000
BHS,10,null,HL70000
BHS,1,null,HL70000
BHS,2,null,HL70000
BHS,12,null,HL70000
BHS,9,null,HL70000
BHS,5,null,HL70000
BHS,7,null,HL70000
BHS,3,null,HL70000
BHS,4,null,HL70000
BHS,8,null,HL70000
BLG,2,null,HL70122
BLG,3,null,HL70000
BLG,1,null,HL70100
BTS,3,null,HL70000
BTS,2,null,HL70000
BTS,1,null,HL70000
CDM,12,null,HL70000
CDM,1,null,HL70132
CDM,4,null,HL70000
CDM,10,null,HL70000
CDM,6,null,HL70000
CDM,7,null,HL70088
CDM,9,null,HL70000
CDM,13,null,HL70136
CDM,8,null,HL70183
CDM,5,null,HL70268
CDM,11,null,HL70000
CDM,2,null,HL70000
CDM,3,null,HL70000
CM0,10,null,HL70000
CM0,11,null,HL70000
CM0,1,null,HL70000
CM0,6,null,HL70000
CM0,8,null,HL70000
CM0,7,null,HL70000
CM0,9,null,HL70000
CM0,4,null,HL70000
CM0,3,null,HL70000
CM0,2,null,HL70000
CM0,5,null,HL70000
CM1,3,null,HL70000
CM1,1,null,HL70000
CM1,2,null,HL70000
CSP,3,null,HL70000
CSP,1,null,HL70000
CSP,4,null,HL70000
CSP,2,null,HL70000
CSR,5,null,HL70000
CSR,16,null,HL70000
CSR,9,null,HL70000
CSR,1,null,HL70000
CSR,3,null,HL70000
CSR,14,null,HL70000
CSR,6,null,HL70000
CSR,10,null,HL70000
CSR,8,null,HL70000
CSR,4,null,HL70000
CSR,12,null,HL70000
CSR,13,null,HL70000
CSR,2,null,HL70000
CSR,15,null,HL70000
CSR,11,null,HL70000
CSR,7,null,HL70000
CSS,2,null,HL70000
CSS,1,null,HL70000
CSS,3,null,HL70000
CTD,1,null,HL70131
CTD,5,null,HL70000
CTD,4,null,HL70000
CTD,3,null,HL70000
CTD,6,null,HL70185
CTD,2,null,HL70000
CTD,7,null,HL70000
CTI,3,null,HL70000
CTI,1,null,HL70000
CTI,2,null,HL70000
DB1,2,null,HL70334
DB1,8,null,HL70000
DB1,5,null,HL70000
DB1,4,null,HL70136
DB1,1,null,HL70000
DB1,7,null,HL70000
DB1,3,null,HL70000
DB1,6,null,HL70000
DG1,6,null,HL70052
DG1,17,null,HL70228
DG1,12,null,HL70000
DG1,5,null,HL70000
DG1,2,null,HL70053
DG1,9,null,HL70136
DG1,1,null,HL70000
DG1,10,null,HL70056
DG1,7,null,HL70118
DG1,11,null,HL70083
DG1,13,null,HL70000
DG1,18,null,HL70136
DG1,3,null,HL70051
DG1,15,null,HL70359
DG1,19,null,HL70000
DG1,8,null,HL70055
DG1,16,null,HL70000
DG1,4,null,HL70000
DG1,14,null,HL70000
DRG,5,null,HL70083
DRG,7,null,HL70000
DRG,1,null,HL70055
DRG,2,null,HL70000
DRG,10,null,HL70136
DRG,6,null,HL70000
DRG,9,null,HL70000
DRG,3,null,HL70136
DRG,4,null,HL70056
DRG,8,null,HL70229
DSC,1,null,HL70000
DSP,1,null,HL70000
DSP,4,null,HL70000
DSP,5,null,HL70000
DSP,3,null,HL70000
DSP,2,null,HL70000
EQL,1,null,HL70000
EQL,4,null,HL70000
EQL,2,null,HL70106
EQL,3,null,HL70000
ERQ,1,null,HL70000
ERQ,3,null,HL70000
ERQ,2,null,HL70000
ERR,1,null,HL70000
EVN,1,null,HL70003
EVN,6,null,HL70000
EVN,3,null,HL70000
EVN,4,null,HL70062
EVN,2,null,HL70000
EVN,5,null,HL70188
FAC,4,null,HL70000
FAC,6,null,HL70000
FAC,8,null,HL70000
FAC,2,null,HL70331
FAC,9,null,HL70000
FAC,11,null,HL70000
FAC,1,null,HL70000
FAC,12,null,HL70000
FAC,3,null,HL70000
FAC,5,null,HL70000
FAC,7,null,HL70000
FAC,10,null,HL70000
FHS,6,null,HL70000
FHS,7,null,HL70000
FHS,3,null,HL70000
FHS,9,null,HL70000
FHS,10,null,HL70000
FHS,8,null,HL70000
FHS,1,null,HL70000
FHS,4,null,HL70000
FHS,11,null,HL70000
FHS,5,null,HL70000
FHS,2,null,HL70000
FHS,12,null,HL70000
FT1,9,null,HL70000
FT1,13,null,HL70049
FT1,17,null,HL70024
FT1,10,null,HL70000
FT1,6,null,HL70017
FT1,1,null,HL70000
FT1,25,null,HL70088
FT1,18,null,HL70018
FT1,21,null,HL70000
FT1,8,null,HL70000
FT1,12,null,HL70000
FT1,16,null,HL70000
FT1,24,null,HL70000
FT1,26,null,HL70340
FT1,14,null,HL70072
FT1,7,null,HL70132
FT1,2,null,HL70000
FT1,3,null,HL70000
FT1,15,null,HL70000
FT1,23,null,HL70000
FT1,5,null,HL70000
FT1,19,null,HL70051
FT1,4,null,HL70000
FT1,20,null,HL70084
FT1,11,null,HL70000
FT1,22,null,HL70000
FTS,2,null,HL70000
FTS,1,null,HL70000
GOL,13,null,HL70000
GOL,6,null,HL70000
GOL,12,null,HL70000
GOL,19,null,HL70000
GOL,10,null,HL70000
GOL,18,null,HL70000
GOL,16,null,HL70000
GOL,9,null,HL70000
GOL,3,null,HL70000
GOL,5,null,HL70000
GOL,21,null,HL70000
GOL,4,null,HL70000
GOL,14,null,HL70000
GOL,2,null,HL70000
GOL,7,null,HL70000
GOL,17,null,HL70000
GOL,1,null,HL70287
GOL,20,null,HL70000
GOL,8,null,HL70000
GOL,11,null,HL70000
GOL,15,null,HL70000
GT1,31,null,HL70000
GT1,45,null,HL70000
GT1,51,null,HL70000
GT1,4,null,HL70000
GT1,7,null,HL70000
GT1,32,null,HL70000
GT1,17,null,HL70000
GT1,19,null,HL70000
GT1,3,null,HL70000
GT1,43,null,HL70212
GT1,41,null,HL70006
GT1,10,null,HL70068
GT1,5,null,HL70000
GT1,6,null,HL70000
GT1,30,null,HL70002
GT1,38,null,HL70215
GT1,1,null,HL70000
GT1,44,null,HL70189
GT1,29,null,HL70000
GT1,42,null,HL70000
GT1,28,null,HL70000
GT1,53,null,HL70311
GT1,13,null,HL70000
GT1,36,null,HL70296
GT1,52,null,HL70295
GT1,15,null,HL70000
GT1,25,null,HL70136
GT1,48,null,HL70063
GT1,14,null,HL70000
GT1,47,null,HL70222
GT1,26,null,HL70218
GT1,55,null,HL70005
GT1,18,null,HL70000
GT1,23,null,HL70341
GT1,54,null,HL70064
GT1,50,null,HL70327
GT1,27,null,HL70000
GT1,40,null,HL70231
GT1,20,null,HL70066
GT1,16,null,HL70000
GT1,24,null,HL70000
GT1,34,null,HL70009
GT1,46,null,HL70000
GT1,49,null,HL70000
GT1,8,null,HL70000
GT1,12,null,HL70000
GT1,11,null,HL70063
GT1,9,null,HL70001
GT1,22,null,HL70136
GT1,39,null,HL70136
GT1,37,null,HL70220
GT1,21,null,HL70000
GT1,33,null,HL70223
GT1,35,null,HL70171
GT1,2,null,HL70000
IN1,16,null,HL70000
IN1,10,null,HL70000
IN1,44,null,HL70000
IN1,8,null,HL70000
IN1,12,null,HL70000
IN1,19,null,HL70000
IN1,41,null,HL70000
IN1,18,null,HL70000
IN1,33,null,HL70000
IN1,6,null,HL70000
IN1,25,null,HL70136
IN1,2,null,HL70072
IN1,31,null,HL70098
IN1,43,null,HL70001
IN1,37,null,HL70000
IN1,32,null,HL70022
IN1,35,null,HL70042
IN1,48,null,HL70295
IN1,39,null,HL70000
IN1,42,null,HL70066
IN1,26,null,HL70000
IN1,28,null,HL70000
IN1,49,null,HL70000
IN1,4,null,HL70000
IN1,11,null,HL70000
IN1,30,null,HL70000
IN1,17,null,HL70063
IN1,9,null,HL70000
IN1,21,null,HL70173
IN1,3,null,HL70000
IN1,14,null,HL70000
IN1,13,null,HL70000
IN1,46,null,HL70072
IN1,27,null,HL70093
IN1,24,null,HL70000
IN1,7,null,HL70000
IN1,1,null,HL70000
IN1,36,null,HL70000
IN1,15,null,HL70086
IN1,29,null,HL70000
IN1,40,null,HL70000
IN1,22,null,HL70000
IN1,34,null,HL70000
IN1,20,null,HL70135
IN1,45,null,HL70000
IN1,47,null,HL70309
IN1,38,null,HL70000
IN1,5,null,HL70000
IN1,23,null,HL70136
LCC,2,null,HL70264
LCC,3,null,HL70129
LCC,4,null,HL70132
LCC,1,null,HL70000
LCH,1,null,HL70000
LCH,3,null,HL70000
LCH,2,null,HL70206
LCH,5,null,HL70000
LCH,4,null,HL70324
LDP,1,null,HL70000
LDP,2,null,HL70264
LDP,6,null,HL70183
LDP,4,null,HL70265
LDP,10,null,HL70267
LDP,9,null,HL70000
LDP,3,null,HL70069
LDP,8,null,HL70000
LDP,11,null,HL70000
LDP,7,null,HL70000
LDP,5,null,HL70004
LOC,3,null,HL70260
LOC,6,null,HL70000
LOC,1,null,HL70000
LOC,4,null,HL70000
LOC,7,null,HL70000
LOC,5,null,HL70000
LOC,8,null,HL70261
LOC,2,null,HL70000
LRL,3,null,HL70000
LRL,1,null,HL70000
LRL,4,null,HL70325
LRL,5,null,HL70000
LRL,6,null,HL70000
LRL,2,null,HL70206
MFA,1,null,HL70180
MFA,4,null,HL70181
MFA,2,null,HL70000
MFA,6,null,HL70355
MFA,3,null,HL70000
MFA,5,null,HL70000
MFE,3,null,HL70000
MFE,4,null,HL70000
MFE,1,null,HL70180
MFE,2,null,HL70000
MFE,5,null,HL70355
MFI,3,null,HL70178
MFI,4,null,HL70000
MFI,6,null,HL70179
MFI,2,null,HL70000
MFI,5,null,HL70000
MFI,1,null,HL70175
MRG,1,null,HL70000
MRG,3,null,HL70000
MRG,2,null,HL70000
MRG,4,null,HL70000
MRG,5,null,HL70000
MRG,6,null,HL70000
MRG,7,null,HL70000
MSA,2,null,HL70000
MSA,4,null,HL70000
MSA,5,null,HL70102
MSA,1,null,HL70008
MSA,3,null,HL70000
MSA,6,null,HL70000
MSH,6,null,HL70362
MSH,2,null,HL70000
MSH,10,null,HL70000
MSH,16,null,HL70155
MSH,8,null,HL70000
MSH,13,null,HL70000
MSH,5,null,HL70361
MSH,7,null,HL70000
MSH,18,null,HL70211
MSH,17,null,HL70000
MSH,11,null,HL70000
MSH,15,null,HL70155
MSH,1,null,HL70000
MSH,12,null,HL70104
MSH,4,null,HL70362
MSH,9,null,HL70076
MSH,20,null,HL70356
MSH,14,null,HL70000
MSH,19,null,HL70000
MSH,3,null,HL70361
NCK,1,null,HL70000
NK1,37,null,HL70000
NK1,27,null,HL70212
NK1,19,null,HL70171
NK1,7,null,HL70131
NK1,30,null,HL70000
NK1,12,null,HL70000
NK1,9,null,HL70000
NK1,13,null,HL70000
NK1,34,null,HL70311
NK1,16,null,HL70000
NK1,36,null,HL70295
NK1,1,null,HL70000
NK1,11,null,HL70327
NK1,2,null,HL70000
NK1,5,null,HL70000
NK1,26,null,HL70000
NK1,14,null,HL70002
NK1,20,null,HL70296
NK1,33,null,HL70000
NK1,28,null,HL70189
NK1,6,null,HL70000
NK1,24,null,HL70231
NK1,4,null,HL70000
NK1,21,null,HL70220
NK1,23,null,HL70136
NK1,32,null,HL70000
NK1,25,null,HL70006
NK1,8,null,HL70000
NK1,18,null,HL70009
NK1,10,null,HL70000
NK1,35,null,HL70005
NK1,22,null,HL70215
NK1,17,null,HL70223
NK1,3,null,HL70063
NK1,31,null,HL70000
NK1,15,null,HL70001
NK1,29,null,HL70222
NPU,1,null,HL70000
NPU,2,null,HL70116
NSC,7,null,HL70000
NSC,6,null,HL70000
NSC,9,null,HL70000
NSC,1,null,HL70333
NSC,3,null,HL70000
NSC,4,null,HL70000
NSC,2,null,HL70000
NSC,8,null,HL70000
NSC,5,null,HL70000
NST,8,null,HL70000
NST,14,null,HL70000
NST,1,null,HL70136
NST,4,null,HL70000
NST,7,null,HL70000
NST,9,null,HL70000
NST,12,null,HL70000
NST,13,null,HL70000
NST,5,null,HL70000
NST,3,null,HL70000
NST,15,null,HL70000
NST,2,null,HL70000
NST,10,null,HL70000
NST,11,null,HL70000
NST,6,null,HL70000
NTE,2,null,HL70105
NTE,3,null,HL70000
NTE,4,null,HL70364
NTE,1,null,HL70000
OBR,6,null,HL70000
OBR,28,null,HL70000
OBR,13,null,HL70000
OBR,21,null,HL70000
OBR,34,null,HL70000
OBR,40,null,HL70000
OBR,42,null,HL70225
OBR,4,null,HL70000
OBR,18,null,HL70000
OBR,12,null,HL70000
OBR,45,null,HL70340
OBR,2,null,HL70000
OBR,5,null,HL70000
OBR,10,null,HL70000
OBR,7,null,HL70000
OBR,27,null,HL70000
OBR,3,null,HL70000
OBR,20,null,HL70000
OBR,8,null,HL70000
OBR,25,null,HL70123
OBR,23,null,HL70000
OBR,31,null,HL70000
OBR,19,null,HL70000
OBR,37,null,HL70000
OBR,43,null,HL70000
OBR,9,null,HL70000
OBR,17,null,HL70000
OBR,41,null,HL70224
OBR,22,null,HL70000
OBR,26,null,HL70000
OBR,11,null,HL70065
OBR,24,null,HL70074
OBR,36,null,HL70000
OBR,15,null,HL70070
OBR,30,null,HL70124
OBR,33,null,HL70000
OBR,44,null,HL70088
OBR,29,null,HL70000
OBR,38,null,HL70000
OBR,1,null,HL70000
OBR,35,null,HL70000
OBR,39,null,HL70000
OBR,14,null,HL70000
OBR,16,null,HL70000
OBR,32,null,HL70000
OBX,2,null,HL70125
OBX,5,null,HL70000
OBX,12,null,HL70000
OBX,10,null,HL70080
OBX,13,null,HL70000
OBX,16,null,HL70000
OBX,17,null,HL70000
OBX,8,null,HL70078
OBX,3,null,HL70000
OBX,9,null,HL70000
OBX,1,null,HL70000
OBX,6,null,HL70000
OBX,4,null,HL70000
OBX,7,null,HL70000
OBX,14,null,HL70000
OBX,11,null,HL70085
OBX,15,null,HL70000
ODS,1,null,HL70159
ODS,2,null,HL70000
ODS,3,null,HL70000
ODS,4,null,HL70000
ODT,1,null,HL70160
ODT,3,null,HL70000
ODT,2,null,HL70000
OM1,21,null,HL70000
OM1,29,null,HL70000
OM1,44,null,HL70256
OM1,7,null,HL70000
OM1,30,null,HL70177
OM1,28,null,HL70000
OM1,12,null,HL70136
OM1,4,null,HL70136
OM1,9,null,HL70000
OM1,13,null,HL70000
OM1,41,null,HL70000
OM1,23,null,HL70000
OM1,5,null,HL70000
OM1,18,null,HL70174
OM1,22,null,HL70000
OM1,17,null,HL70000
OM1,24,null,HL70000
OM1,26,null,HL70169
OM1,33,null,HL70000
OM1,1,null,HL70000
OM1,45,null,HL70258
OM1,11,null,HL70000
OM1,19,null,HL70000
OM1,25,null,HL70168
OM1,39,null,HL70000
OM1,47,null,HL70259
OM1,14,null,HL70000
OM1,16,null,HL70000
OM1,34,null,HL70000
OM1,37,null,HL70000
OM1,36,null,HL70000
OM1,6,null,HL70000
OM1,8,null,HL70000
OM1,3,null,HL70125
OM1,46,null,HL70000
OM1,20,null,HL70000
OM1,43,null,HL70255
OM1,40,null,HL70000
OM1,31,null,HL70000
OM1,38,null,HL70000
OM1,35,null,HL70000
OM1,42,null,HL70254
OM1,32,null,HL70000
OM1,2,null,HL70000
OM1,10,null,HL70000
OM1,15,null,HL70136
OM1,27,null,HL70000
ORC,16,null,HL70000
ORC,21,null,HL70000
ORC,6,null,HL70121
ORC,8,null,HL70000
ORC,3,null,HL70000
ORC,11,null,HL70000
ORC,12,null,HL70000
ORC,23,null,HL70000
ORC,14,null,HL70000
