Segments, Location, Referenced Data type, Value Set
TQ2,10,ID,HL70506
TQ2,7,ID,HL70505
TQ2,2,ID,HL70503
TQ2,6,ID,HL70504
RDF,2,RCD,HL70440
TQ1,12,ID,HL70472
TQ1,9,CWE,HL70485
MSA,8,ID,HL70520
MSA,6,CNE,HL70357
MSA,1,ID,HL70008
ISD,2,CWE,HL70368
ISD,3,CWE,HL70387
NDS,3,CWE,HL70367
NDS,4,CWE,HL79999
PYE,2,IS,HL70557
PYE,7,IS,HL70570
PYE,3,IS,HL70558
ACC,10,ID,HL70136
ACC,4,CWE,HL70347
ACC,2,CWE,HL70050
MSH,15,ID,HL70155
MSH,18,ID,HL70211
MSH,20,ID,HL70356
MSH,4,HD,HL70362
MSH,17,ID,HL70399
MSH,3,HD,HL70361
GOL,1,ID,HL70287
GOL,22,CNE,HL70725
AL1,2,CWE,HL70127
AL1,4,CWE,HL70128
ECD,2,CWE,HL70368
ECD,3,ID,HL70136
GP2,12,IS,HL70470
GP2,7,CWE,HL70466
GP2,9,IS,HL70468
GP2,8,IS,HL70467
GP2,5,IS,HL70460
GP2,10,IS,HL70469
GP2,6,IS,HL70458
GP2,4,IS,HL70459
GP2,1,IS,HL70456
GP1,3,IS,HL70457
GP1,2,IS,HL70456
GP1,1,IS,HL70455
GP1,4,IS,HL70458
PID,16,CWE,HL70002
PID,32,IS,HL70445
PID,39,CWE,HL70171
PID,38,CWE,HL70429
PID,22,CWE,HL70189
PID,24,ID,HL70136
PID,12,IS,HL70289
PID,10,CWE,HL70005
PID,17,CWE,HL70006
PID,8,IS,HL70001
PID,35,CWE,HL70446
PID,15,CWE,HL70296
PID,36,CWE,HL70447
PID,28,CWE,HL70212
PID,27,CWE,HL70172
PR1,14,ID,HL70418
PR1,6,IS,HL70230
PR1,20,ID,HL70206
PR1,16,CNE,HL70340
PR1,18,CWE,HL70417
PR1,21,IS,HL70761
PR1,9,IS,HL70019
PR1,17,IS,HL70416
PR1,13,CWE,HL70059
PR1,22,IS,HL70763
PR1,3,CNE,HL70088
PR1,15,CWE,HL70051
RMI,1,CWE,HL70427
RMI,3,CWE,HL70428
DB1,4,ID,HL70136
DB1,2,IS,HL70334
ECR,1,CWE,HL70387
DRG,4,IS,HL70056
DRG,1,CNE,HL70055
DRG,11,IS,HL70415
DRG,8,IS,HL70229
DRG,27,IS,HL70749
DRG,31,IS,HL70755
DRG,33,IS,HL70759
DRG,32,IS,HL70757
DRG,14,CWE,HL70728
DRG,5,CWE,HL70083
DRG,13,CWE,HL70734
DRG,20,IS,HL70742
DRG,17,IS,HL70739
DRG,3,ID,HL70136
LAN,4,CWE,HL70404
LAN,3,CWE,HL70403
LAN,2,CWE,HL70296
RF1,5,CWE,HL70284
RF1,1,CWE,HL70283
RF1,2,CWE,HL70280
RF1,10,CWE,HL70336
RF1,12,CWE,HL70865
RF1,4,CWE,HL70282
RF1,3,CWE,HL70281
PRA,5,SPD,HL70337
PRA,2,CWE,HL70358
PRA,9,CWE,HL70537
PRA,6,PLN,HL70338
PRA,3,IS,HL70186
PRA,11,CWE,HL70401
PRA,4,ID,HL70187
PRA,1,CWE,HL79999
PRC,13,IS,HL70268
PRC,3,CWE,HL70184
PRC,1,CWE,HL70132
PRC,15,ID,HL70136
PRC,14,CWE,HL70293
PRC,2,CWE,HL70464
PRC,16,ID,HL70183
PRC,4,IS,HL70004
PRC,18,IS,HL70269
PRB,27,CWE,HL70838
PRB,28,CNE,HL70725
