Segment,HL7 Version,Usage, Field Position,Data Type, MinLength, MaxLength
ADJ,2.7.1,R,14,HL7DTM-V2-7-1,0,0
ADJ,2.8,R,14,HL7DTM-V2-8,0,0
BPO,2.7.1,R,4,HL7NM-V2-7-1,0,0
BPX,2.7.1,R,14,HL7NM-V2-7-1,0,0
BPX,2.7.1,R,4,HL7DTM-V2-7-1,0,0
BPX,2.8,R,4,HL7DTM-V2-8,0,0
BTX,2.7.1,R,13,HL7DTM-V2-7-1,0,0
BTX,2.7.1,R,8,HL7NM-V2-7-1,0,0
BTX,2.8,R,13,HL7DTM-V2-8,0,0
BUI,2.8,R,6,HL7NM-V2-8,0,0
BUI,2.8,R,4,HL7NM-V2-8,0,0
BUI,2.8,R,9,HL7ST-V2-8,0,0
BUI,2.8,R,8,HL7ST-V2-8,0,0
CDM,2.7.1,R,3,HL7ST-V2-7-1,0,0
CER,2.7.1,R,13,HL7ST-V2-7-1,0,0
CM0,2.7.1,R,4,HL7ST-V2-7-1,0,0
CM1,2.7.1,R,3,HL7ST-V2-7-1,0,0
CSP,2.7.1,R,2,HL7DTM-V2-7-1,0,0
CSP,2.8,R,2,HL7DTM-V2-8,0,0
CSR,2.7.1,R,6,HL7DTM-V2-7-1,0,0
CSR,2.8,R,6,HL7DTM-V2-8,0,0
DON,2.8,R,17,HL7DTM-V2-8,0,0
DON,2.8,R,15,HL7ID-V2-8,0,0
DON,2.8,R,11,HL7DTM-V2-8,0,0
DON,2.8,R,3,HL7DTM-V2-8,0,0
DON,2.8,R,5,HL7NM-V2-8,0,0
DON,2.8,R,19,HL7DTM-V2-8,0,0
DON,2.8,R,4,HL7DTM-V2-8,0,0
DON,2.8,R,29,HL7DTM-V2-8,0,0
DON,2.8,R,30,HL7NM-V2-8,0,0
DON,2.8,R,9,HL7ID-V2-8,0,0
DON,2.8,R,27,HL7ID-V2-8,0,0
DSP,2.7.1,R,3,HL7TX-V2-7-1,0,0
ECD,2.7.1,R,1,HL7NM-V2-7-1,0,0
ECR,2.7.1,R,2,HL7DTM-V2-7-1,0,0
ECR,2.8,R,2,HL7DTM-V2-8,0,0
EQP,2.7.1,R,3,HL7DTM-V2-7-1,0,0
EQP,2.7.1,R,5,HL7FT-V2-7-1,0,0
EQP,2.8,R,5,HL7FT-V2-8,0,0
EQP,2.8,R,3,HL7DTM-V2-8,0,0
EQU,2.7.1,R,2,HL7DTM-V2-7-1,0,0
EQU,2.8,R,2,HL7DTM-V2-8,0,0
EVN,2.7.1,R,2,HL7DTM-V2-7-1,0,0
EVN,2.8,R,2,HL7DTM-V2-8,0,0
GOL,2.7.1,R,2,HL7DTM-V2-7-1,0,0
GOL,2.8,R,2,HL7DTM-V2-8,0,0
ILT,2.7.1,R,2,HL7ST-V2-7-1,0,0
IPR,2.7.1,R,8,HL7ST-V2-7-1,0,0
IPR,2.7.1,R,5,HL7DTM-V2-7-1,0,0
IPR,2.8,R,5,HL7DTM-V2-8,0,0
ISD,2.7.1,R,1,HL7NM-V2-7-1,0,0
ISD,2.8,R,1,HL7NM-V2-8,0,0
IVC,2.7.1,R,7,HL7DTM-V2-7-1,0,0
IVC,2.8,R,7,HL7DTM-V2-8,0,0
MFA,2.7.1,R,5,HL7var-V2-7-1,0,0
MFA,2.8,R,5,HL7var-V2-8,0,0
MFE,2.7.1,R,4,HL7var-V2-7-1,0,0
MFE,2.8,R,4,HL7var-V2-8,0,0
MSH,2.7.1,R,7,HL7DTM-V2-7-1,0,0
MSH,2.8,R,7,HL7DTM-V2-8,0,0
NDS,2.7.1,R,2,HL7DTM-V2-7-1,0,0
NDS,2.7.1,R,1,HL7NM-V2-7-1,0,0
NDS,2.8,R,2,HL7DTM-V2-8,0,0
OBX,2.7.1,R,4,HL7ST-V2-7-1,0,0
OM1,2.7.1,R,8,HL7ST-V2-7-1,0,0
OM1,2.7.1,R,1,HL7NM-V2-7-1,0,0
OM7,2.7.1,R,1,HL7NM-V2-7-1,0,0
PDC,2.7.1,R,3,HL7ST-V2-7-1,0,0
PEO,2.7.1,R,3,HL7DTM-V2-7-1,0,0
PEO,2.8,R,3,HL7DTM-V2-8,0,0
PES,2.7.1,R,10,HL7DTM-V2-7-1,0,0
PES,2.8,R,10,HL7DTM-V2-8,0,0
PMT,2.7.1,R,3,HL7DTM-V2-7-1,0,0
PMT,2.7.1,R,2,HL7DTM-V2-7-1,0,0
PMT,2.7.1,R,5,HL7DTM-V2-7-1,0,0
PMT,2.8,R,2,HL7DTM-V2-8,0,0
PMT,2.8,R,3,HL7DTM-V2-8,0,0
PMT,2.8,R,5,HL7DTM-V2-8,0,0
PR1,2.7.1,R,5,HL7DTM-V2-7-1,0,0
PR1,2.8,R,5,HL7DTM-V2-8,0,0
PRB,2.7.1,R,2,HL7DTM-V2-7-1,0,0
PRB,2.8,R,2,HL7DTM-V2-8,0,0
PSG,2.7.1,R,6,HL7ST-V2-7-1,0,0
PSH,2.7.1,R,1,HL7ST-V2-7-1,0,0
PSH,2.7.1,R,3,HL7DTM-V2-7-1,0,0
PSH,2.8,R,3,HL7DTM-V2-8,0,0
PSS,2.7.1,R,5,HL7ST-V2-7-1,0,0
PTH,2.7.1,R,4,HL7DTM-V2-7-1,0,0
PTH,2.8,R,4,HL7DTM-V2-8,0,0
QID,2.7.1,R,1,HL7ST-V2-7-1,0,0
RDF,2.7.1,R,1,HL7NM-V2-7-1,0,0
RFI,2.7.1,R,2,HL7DTM-V2-7-1,0,0
RFI,2.7.1,R,1,HL7DTM-V2-7-1,0,0
RFI,2.8,R,1,HL7DTM-V2-8,0,0
RFI,2.8,R,2,HL7DTM-V2-8,0,0
RXA,2.7.1,R,2,HL7NM-V2-7-1,0,0
RXA,2.7.1,R,4,HL7DTM-V2-7-1,0,0
RXA,2.7.1,R,1,HL7NM-V2-7-1,0,0
RXA,2.7.1,R,3,HL7DTM-V2-7-1,0,0
RXA,2.7.1,R,6,HL7NM-V2-7-1,0,0
RXA,2.8,R,4,HL7DTM-V2-8,0,0
RXA,2.8,R,3,HL7DTM-V2-8,0,0
RXA,2.8,R,6,HL7NM-V2-8,0,0
RXC,2.7.1,R,3,HL7NM-V2-7-1,0,0
RXC,2.8,R,3,HL7NM-V2-8,0,0
RXD,2.7.1,R,7,HL7ST-V2-7-1,0,0
RXD,2.7.1,R,4,HL7NM-V2-7-1,0,0
RXD,2.7.1,R,1,HL7NM-V2-7-1,0,0
RXD,2.7.1,R,3,HL7DTM-V2-7-1,0,0
RXD,2.8,R,4,HL7NM-V2-8,0,0
RXD,2.8,R,3,HL7DTM-V2-8,0,0
RXE,2.7.1,R,3,HL7NM-V2-7-1,0,0
RXE,2.8,R,3,HL7NM-V2-8,0,0
RXG,2.7.1,R,1,HL7NM-V2-7-1,0,0
RXG,2.7.1,R,5,HL7NM-V2-7-1,0,0
RXG,2.8,R,5,HL7NM-V2-8,0,0
SFT,2.7.1,R,2,HL7ST-V2-7-1,0,0
SFT,2.7.1,R,4,HL7ST-V2-7-1,0,0
SFT,2.7.1,R,3,HL7ST-V2-7-1,0,0
SHP,2.7.1,R,4,HL7DTM-V2-7-1,0,0
SHP,2.8,R,4,HL7DTM-V2-8,0,0
VAR,2.7.1,R,2,HL7DTM-V2-7-1,0,0
VAR,2.8,R,2,HL7DTM-V2-8,0,0

Total,123
