1,0,X,YYYY[MM[DD]],The Date element SHALL follow the Date/Time pattern 'YYYY[MM[DD]]'.,^(\d{4}|\d{6}|\d{8})$
1,1,X,YYYY[MM],The Date element SHALL follow the Date/Time pattern 'YYYY[MM]'.,^(\d{4}|\d{6})$
1,2,X,YYYY, The Date element SHALL follow the Date/Time pattern 'YYYY'.,^(\d{4})$
2,0,X,YYYYMM[DD],The Date element SHALL follow the Date/Time pattern 'YYYYMM[DD]'.,^(\d{6}|\d{8})$
2,1,X,YYYYMM, The Date element SHALL follow the Date/Time pattern 'YYYYMM'.,^(\d{6})$
3,0,X,YYYYMMDD, The Date element SHALL follow the Date/Time pattern 'YYYYMMDD'.,^(\d{8})$
